id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
42576872,Close to Galata and Taksim istiklal for 4 people,323210914,Kerem,,Beyoglu,41.02812,28.97975,Entire home/apt,368,1,1,2020-08-26,0.23,3,365
42577933,A contemporary in historic Istanbul,323210914,Kerem,,Beyoglu,41.02765,28.97544,Entire home/apt,1780,1,0,,,3,364
42578341,ALL FLAT; No:6 ; Floor3,164496244,Mustafa,,Kadikoy,40.99607,29.02708,Entire home/apt,318,7,0,,,7,90
42578777,ALL FLAT; No:4 ; Floor2,164496244,Mustafa,,Kadikoy,40.99607,29.02708,Entire home/apt,363,7,0,,,7,90
42579392,ALL FLAT;No:2 ; Floor1,164496244,Mustafa,,Kadikoy,40.99607,29.02708,Entire home/apt,363,7,0,,,7,90
42579883,House to rent,339174307,"Aria,",,Kadikoy,40.98454,29.04688,Entire home/apt,454,1,0,,,1,0
42580981,vilaaa,336051550,Mehmet,,Fatih,41.00394,28.97193,Private room,809,1,0,,,16,1
42581091,3 kişilik lüks oda,336051550,Mehmet,,Fatih,41.00223,28.9701,Private room,191,1,3,2020-10-18,0.77,16,2
42583311,Standart Oda Deniz Manzaralı,338451049,Hayri,,Adalar,40.87414,29.13294,Private room,358,1,0,,,2,365
42583825,Hotel Villa Pasha- Sweet Room in Sultanahmet,339203995,Ahmet,,Fatih,41.005,28.9793,Private room,350,2,0,,,6,271
42584089,Hotel Villa Pasha- sweet room - Double or Twin bed,339203995,Ahmet,,Fatih,41.00434,28.98107,Private room,359,2,0,,,6,365
42584351,Comfortable two bedrooms flat near snow park,339207325,Kerem,,Esenyurt,41.01643,28.68145,Entire home/apt,240,3,1,2020-04-30,0.12,2,307
42585027,Beautiful location 5 minutes to Taksim Square,32949954,D. Enis,,Beyoglu,41.03426,28.98774,Entire home/apt,236,3,0,,,2,177
42586984,Temiz ve Metronun Yanında Nişantaşına 5 dk,339233008,Berkan,,Sisli,41.0517,28.98723,Private room,149,4,0,,,1,179
42587796,Your elegant large appartment in Istanbul.,183840036,Gentleman’s,,Maltepe,40.92627,29.13426,Private room,250,1,0,,,1,365
42588239,Economic Flat 1,33505256,Yusuf,,Fatih,41.00329,28.97219,Entire home/apt,364,2,0,,,6,364
42592747,PERA FLOWER HOUSE BLUE CONCEPT İN TAKSİM,229048031,Ilhan,,Beyoglu,41.03506,28.97256,Entire home/apt,165,2,6,2020-12-30,0.60,16,353
42594078,Design Süit in Villa Pasha Hotel,339203995,Ahmet,,Fatih,41.00628,28.98071,Private room,682,2,1,2020-03-12,0.10,6,365
42595501,Çift kişilik konaklama,330239756,Dogukan,,Beykoz,41.09452,29.08152,Private room,75,1,0,,,1,1
42595760,Sultanahmet- 3 person room- hotel villa pasha,339203995,Ahmet,,Fatih,41.00489,28.98036,Private room,318,2,0,,,6,0
